Team,W,L, Diff,G,A,S,SPCT,GB,FO,TO,CTO,SV,SV%,GA,PPG,2ptG,PTS
1. CHAOS,7.00,3.00,1.00,118.00,67.00,383.00,0.31,294.00,0.47,164.00,64.00,157.00,0.55,129.00,12.00,12.00,192.00
2. WHIPSNAKES,6.00,4.00,12.00,116.00,73.00,457.00,0.25,287.00,0.52,137.00,59.00,133.00,0.55,116.00,10.00,15.00,196.00
3. ARCHERS,5.00,5.00,6.00,105.00,65.00,419.00,0.25,282.00,0.46,147.00,55.00,126.00,0.56,105.00,8.00,6.00,180.00
4. REDWOODS,5.00,5.00,-2.00,112.00,61.00,440.00,0.25,274.00,0.42,141.00,67.00,116.00,0.52,116.00,4.00,2.00,178.00
5. ATLAS,5.00,5.00,-7.00,117.00,73.00,403.00,0.29,299.00,0.61,144.00,51.00,140.00,0.53,132.00,10.00,8.00,198.00
6. CHROME,2.00,8.00,-10.00,120.00,62.00,416.00,0.29,344.00,0.51,154.00,67.00,127.00,0.50,137.00,4.00,7.00,194.00
