Team1,Team2,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,OPoints,OPA,O2PtSh,O2PtShPct,OSh,OSh %,OGB,OTO,OCT,OFO %,OPP,OPP %,OAssists,OSaves,OGA,O2GA,OSvPct
Redwood,Chaos,3,TEAM2,1,1,10,9.5,3.5,0,47.5,0.215,26.5,11.5,7.5,0.515,1,0.29,4.5,14.5,9.5,0,0.6,16,14,7,0.285,38.5,0.365,30.5,12,7,0.35,1,0.5,6,15,13.5,0.5,0.525
Archers,Whipsnakes,3,TEAM2,2,2,11.5,10.5,1.5,0.25,36,0.305,26.5,16,6.5,0.395,0.5,0.165,6.5,12.5,10.5,0,0.545,13.5,12.5,4.5,0.085,51,0.25,28.5,13.5,6,0.495,1,0.2,6,12.5,11.5,1,0.525
Chrome,Atlas,3,TEAM2,0,0,11.5,12.5,5.5,0.085,44,0.25,35.5,19,6.5,0.64,0,0,6,12.5,11.5,1,0.505,11,14.5,7.5,0.065,41,0.255,31,14.5,4,0.61,1,0.25,7.5,14.5,13,1.5,0.515
