Team1,Team2,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,OPoints,OPA,O2PtSh,O2PtShPct,OSh,OSh %,OGB,OTO,OCT,OFO %,OPP,OPP %,OAssists,OSaves,OGA,O2GA,OSvPct
Redwood,Chaos,8,TEAM2,4,5,11.71428571,11.28571429,3.428571429,0.02,43.71428571,0.27,26.28571429,13.14285714,6.714285714,0.41,0.714285714,0.225714286,6.285714286,12.42857143,10.42857143,0.857142857,0.53,13.85714286,13.85714286,5.142857143,0.182857143,37.42857143,0.344285714,30.14285714,16,6.142857143,0.46,1.142857143,0.428571429,7,16.57142857,13.14285714,0.428571429,0.558571429
Chrome,Whipsnakes,8,TEAM1,1,5,12.28571429,12.28571429,4.428571429,0.112857143,44.57142857,0.262857143,35.85714286,14.85714286,6.857142857,0.508571429,0.428571429,0.171428571,6.142857143,12.28571429,11.42857143,0.857142857,0.511428571,12.42857143,11.57142857,6,0.141428571,45.85714286,0.25,29.14285714,13.42857143,5.285714286,0.528571429,0.428571429,0.081428571,6,14.57142857,11,0.571428571,0.568571429
Archers,Atlas,8,TEAM1,3,3,10.71428571,10.71428571,4,0.161428571,40.14285714,0.254285714,27.42857143,15.42857143,7.428571429,0.457142857,1.428571429,0.375714286,6.428571429,12.42857143,10.14285714,0.571428571,0.531428571,12.14285714,13.42857143,6,0.161428571,39,0.29,28.28571429,14.28571429,3.571428571,0.638571429,1,0.232857143,7,14.28571429,12.14285714,1.285714286,0.527142857
