Team1,Team2,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,OPoints,OPA,O2PtSh,O2PtShPct,OSh,OSh %,OGB,OTO,OCT,OFO %,OPP,OPP %,OAssists,OSaves,OGA,O2GA,OSvPct
Chrome,Redwood,4,TEAM2,0,1,11.66666667,12.66666667,6,0.153333333,42.66666667,0.25,34.33333333,16.33333333,7.666666667,0.543333333,0,0,6,12,11.66666667,1,0.496666667,10.33333333,10.33333333,4.666666667,0.046666667,47.66666667,0.213333333,26.66666667,12.33333333,6.333333333,0.536666667,1,0.303333333,5,11,10.33333333,0,0.483333333
Whipsnakes,Atlas,4,TEAM1,3,1,12.66666667,11.66666667,5.333333333,0.153333333,45.33333333,0.253333333,30.33333333,15.33333333,4.333333333,0.543333333,0.666666667,0.133333333,5.666666667,15,11,0.666666667,0.573333333,11.66666667,13.66666667,5.666666667,0.21,38.66666667,0.286666667,31.33333333,15.33333333,4,0.623333333,1,0.276666667,7,14.33333333,12,1.666666667,0.536666667
Archers,Chaos,4,TEAM2,2,2,11,10.66666667,2.333333333,0.166666667,39.33333333,0.276666667,25.66666667,15.33333333,5.666666667,0.383333333,1,0.22,6.666666667,12.33333333,10,0.666666667,0.553333333,14.66666667,13,5.666666667,0.19,34.66666667,0.39,29.66666667,13,5.333333333,0.373333333,1.333333333,0.666666667,6.333333333,15.33333333,11.66666667,0.666666667,0.563333333
