Team1,Team2,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,OPoints,OPA,O2PtSh,O2PtShPct,OSh,OSh %,OGB,OTO,OCT,OFO %,OPP,OPP %,OAssists,OSaves,OGA,O2GA,OSvPct
Archers,Redwood,6,TEAM2,2,3,11.6,11.8,3.8,0.168,39.4,0.284,26.4,14.8,8.2,0.38,1.8,0.426,7.2,11.2,11,0.8,0.496,11.6,10.6,4,0.028,46,0.254,27.8,12.6,7.2,0.474,0.8,0.216,6.2,12.6,10,0.6,0.534
Atlas,Whipsnakes,6,TEAM2,2,4,11.6,13.6,5.2,0.16,38.2,0.288,29.8,15,3.4,0.656,0.6,0.166,6.6,14.2,11.8,1.8,0.528,12.8,11.8,6,0.198,47.6,0.238,31.2,14,5.4,0.542,0.6,0.114,6.8,14,11.2,0.6,0.554
Chrome,Chaos,6,TEAM1,0,4,12,13.2,5.2,0.158,42.8,0.256,34.6,16.4,6.8,0.494,0.4,0.2,5.6,13,12.4,0.8,0.5,14.6,13.2,5.6,0.222,37,0.362,30,16,4.8,0.458,1.6,0.6,7.4,16.2,12.2,0.6,0.566
