Team1,Team2,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,OPoints,OPA,O2PtSh,O2PtShPct,OSh,OSh %,OGB,OTO,OCT,OFO %,OPP,OPP %,OAssists,OSaves,OGA,O2GA,OSvPct
Atlas,Archers,5,TEAM1,1,2,11.25,14,5.75,0.2,38.25,0.275,31,15.25,3,0.6425,0.75,0.2075,6.5,15,12,2,0.535,11.5,11.5,3.25,0.1675,41,0.2725,28.25,15.75,8.25,0.4025,1.25,0.3325,7,11.75,10.5,1,0.5175
Chaos,Chrome,5,TEAM1,3,0,14.5,13,6,0.215,35.25,0.3725,29.25,16,4.5,0.415,1.5,0.625,7.25,16.75,11.75,0.75,0.5825,11.5,12.75,6,0.1975,41.75,0.245,34.75,17.25,7,0.5225,0,0,5.75,12.25,12,0.75,0.4975
Redwood,Whipsnakes,5,TEAM1,2,4,11,10.5,4,0.035,46.75,0.235,28.75,13,7,0.5375,0.75,0.2275,5.5,11.5,10,0.5,0.51,13.25,11.25,6.25,0.1975,47,0.2475,29,14,5.5,0.4825,0.75,0.1425,6,14.25,10.5,0.75,0.5725
