Team1,Team2,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,OPoints,OPA,O2PtSh,O2PtShPct,OSh,OSh %,OGB,OTO,OCT,OFO %,OPP,OPP %,OAssists,OSaves,OGA,O2GA,OSvPct
Atlas,Redwood,7,TEAM1,2,4,11.16666667,13.16666667,5.5,0.133333333,39.16666667,0.273333333,28.83333333,14.66666667,3.333333333,0.638333333,0.5,0.138333333,6,14.66666667,11.66666667,1.5,0.541666667,11.16666667,10.16666667,3.833333333,0.023333333,44.5,0.251666667,27.16666667,13.66666667,7.333333333,0.418333333,0.666666667,0.18,6,12.83333333,9.666666667,0.5,0.551666667
Chaos,Whipsnakes,7,TEAM1,4,5,14,14.16666667,5,0.185,37.16666667,0.35,30,15.83333333,5.333333333,0.46,1.333333333,0.5,7,16.5,13.33333333,0.5,0.553333333,12.5,11.33333333,5.666666667,0.165,46.33333333,0.245,29.5,13.5,5,0.526666667,0.5,0.095,6.166666667,14,10.83333333,0.5,0.563333333
Archers,Chrome,7,TEAM1,2,1,11,11.33333333,3.5,0.14,40.16666667,0.266666667,27.83333333,16,8.166666667,0.46,1.666666667,0.438333333,7.333333333,11.33333333,10.66666667,0.666666667,0.508333333,13.16666667,12.83333333,4.5,0.131666667,43,0.285,36,15.83333333,7.166666667,0.5,0.5,0.2,6.5,12.33333333,12.16666667,0.666666667,0.491666667
