Team1,Team2,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,OPoints,OPA,O2PtSh,O2PtShPct,OSh,OSh %,OGB,OTO,OCT,OFO %,OPP,OPP %,OAssists,OSaves,OGA,O2GA,OSvPct
Atlas,Chaos,10,TEAM1,4,7,12.55555556,13.66666667,6.333333333,0.162222222,40.22222222,0.291111111,29.66666667,14.11111111,4.555555556,0.621111111,1,0.328888889,7.222222222,13.55555556,12.66666667,1,0.504444444,13.44444444,13,5.666666667,0.175555556,38,0.326666667,29.88888889,16.66666667,6,0.478888889,1,0.388888889,6.888888889,15.88888889,12.33333333,0.333333333,0.564444444
Redwood,Chrome,10,TEAM1,4,2,10.66666667,12.11111111,3.666666667,0.015555556,43.11111111,0.246666667,26.44444444,14.11111111,6.666666667,0.404444444,0.777777778,0.25,5.777777778,12,11.11111111,1.111111111,0.507777778,13.33333333,13.22222222,4.222222222,0.143333333,42.88888889,0.301111111,34.66666667,15.11111111,6.666666667,0.511111111,0.444444444,0.17,6.333333333,11.88888889,12,1.222222222,0.492222222
Whipsnakes,Archers,10,TEAM2,6,4,13.33333333,11.66666667,6.555555556,0.158888889,45.44444444,0.267777778,29.55555556,13.55555556,6,0.512222222,0.333333333,0.063333333,7.111111111,13.22222222,11,0.666666667,0.548888889,11.11111111,10.77777778,4.333333333,0.125555556,42.55555556,0.253333333,28.22222222,14.66666667,6.777777778,0.474444444,1.222222222,0.314444444,6.555555556,12.77777778,10.33333333,0.444444444,0.535555556
