Team,OpTeam,Week,Win,TeamW,OpWins,Points,PA,2PtSh,2PtShPct,Sh,Sh %,GB,TO,CT,FO %,PP,PP %,Assists,Saves,GA,2GA,SvPct,,,,,,
Whipsnakes,Atlas,6,1,4,2,11.00,9.00,4.00,0.00,40.00,0.28,21.00,11.00,3.00,0.45,0.00,0.00,3.00,14.00,9.00,0.00,0.61,,,,,,
Chrome,Chaos,6,1,0,4,19.00,11.00,1.00,0.00,44.00,0.43,43.00,13.00,9.00,0.53,1.00,0.20,11.00,9.00,11.00,0.00,0.45,,,,,,
Chaos,Chrome,6,0,4,0,11.00,19.00,2.00,0.00,38.00,0.29,30.00,15.00,8.00,0.47,0.00,0.00,5.00,18.00,19.00,0.00,0.49,,,,,,
Atlas,Redwood,7,1,2,4,18.00,15.00,9.00,0.33,38.00,0.39,25.00,12.00,5.00,0.64,4.00,0.80,13.00,12.00,15.00,0.00,0.44,,,,,,
Redwood,Atlas,7,0,4,2,15.00,18.00,1.00,0.00,39.00,0.38,21.00,10.00,3.00,0.36,1.00,0.50,8.00,10.00,15.00,3.00,0.40,,,,,,
Chaos,Whipsnakes,7,1,4,5,13.00,12.00,6.00,0.17,39.00,0.31,31.00,17.00,11.00,0.46,0.00,0.00,7.00,17.00,12.00,0.00,0.59,,,,,,
Whipsnakes,Chaos,7,0,5,4,12.00,13.00,8.00,0.00,43.00,0.28,27.00,13.00,7.00,0.54,0.00,0.00,5.00,18.00,12.00,1.00,0.60,,,,,,
Archers,Chrome,7,1,2,1,9.00,7.00,7.00,0.29,40.00,0.18,25.00,12.00,3.00,0.44,0.00,0.00,1.00,19.00,7.00,0.00,0.67,,,,,,
Chrome,Archers,7,0,1,2,7.00,9.00,4.00,0.00,54.00,0.13,35.00,9.00,5.00,0.56,0.00,0.00,4.00,12.00,7.00,2.00,0.63,,,,,,
Redwood,Chaos,8,0,4,5,10.00,13.00,6.00,0.00,45.00,0.22,25.00,18.00,7.00,0.27,0.00,0.00,4.00,12.00,11.00,3.00,0.52,,,,,,
Chaos,Redwood,8,1,5,4,13.00,10.00,10.00,0.30,42.00,0.24,33.00,21.00,6.00,0.73,0.00,0.00,6.00,12.00,9.00,0.00,0.57,,,,,,
Chrome,Whipsnakes,8,1,1,5,20.00,16.00,4.00,0.50,42.00,0.43,36.00,17.00,8.00,0.59,0.00,0.00,8.00,9.00,13.00,3.00,0.41,,,,,,
Whipsnakes,Chrome,8,0,5,1,16.00,20.00,11.00,0.27,45.00,0.29,33.00,14.00,11.00,0.41,0.00,0.00,8.00,6.00,18.00,2.00,0.23,,,,,,
Archers,Atlas,8,1,3,3,15.00,11.00,2.00,0.00,48.00,0.31,26.00,11.00,4.00,0.43,1.00,0.20,9.00,17.00,11.00,0.00,0.60,,,,,,
Atlas,Archers,8,0,3,3,11.00,15.00,9.00,0.00,46.00,0.24,39.00,14.00,8.00,0.57,1.00,0.33,7.00,13.00,15.00,0.00,0.46,,,,,,
Chaos,Archers,9,1,6,4,11.00,10.00,5.00,0.00,38.00,0.29,25.00,17.00,5.00,0.36,1.00,0.50,7.00,15.00,10.00,0.00,0.60,,,,,,
Archers,Chaos,9,0,4,6,10.00,11.00,9.00,0.00,54.00,0.19,36.00,13.00,5.00,0.64,0.00,0.00,5.00,11.00,11.00,0.00,0.50,,,,,,
Chrome,Atlas,9,0,2,3,14.00,17.00,3.00,0.00,32.00,0.44,25.00,15.00,4.00,0.45,1.00,0.33,6.00,12.00,15.00,2.00,0.44,,,,,,
Atlas,Chrome,9,1,3,2,17.00,14.00,6.00,0.33,43.00,0.35,30.00,13.00,8.00,0.55,1.00,1.00,9.00,9.00,14.00,0.00,0.39,,,,,,
Whipsnakes,Redwood,9,1,5,4,17.00,4.00,6.00,0.17,43.00,0.37,29.00,14.00,6.00,0.50,0.00,0.00,14.00,11.00,4.00,0.00,0.73,,,,,,
Redwood,Whipsnakes,9,0,4,5,4.00,17.00,3.00,0.00,37.00,0.11,29.00,17.00,6.00,0.50,2.00,0.67,4.00,9.00,16.00,1.00,0.34,,,,,,
Atlas,Chaos,10,1,4,7,12.00,9.00,7.00,0.00,41.00,0.29,31.00,17.00,5.00,0.52,1.00,0.20,7.00,18.00,8.00,1.00,0.69,,,,,,
Chaos,Atlas,10,0,7,4,9.00,12.00,7.00,0.14,41.00,0.20,25.00,14.00,11.00,0.48,1.00,0.20,3.00,13.00,12.00,0.00,0.52,,,,,,
Redwood,Chrome,10,1,4,2,18.00,7.00,9.00,0.11,52.00,0.33,36.00,14.00,8.00,0.52,4.00,0.67,7.00,9.00,7.00,0.00,0.56,,,,,,
Chrome,Redwood,10,0,2,4,7.00,18.00,7.00,0.00,30.00,0.23,32.00,18.00,8.00,0.48,0.00,0.00,3.00,20.00,17.00,1.00,0.52,,,,,,
Whipsnakes,Archers,10,0,6,4,8.00,11.00,3.00,0.33,48.00,0.15,21.00,15.00,5.00,0.55,1.00,0.50,5.00,14.00,10.00,1.00,0.58,,,,,,
Archers,Whipsnakes,10,1,4,6,11.00,8.00,6.00,0.17,36.00,0.28,28.00,15.00,0.00,0.45,2.00,1.00,6.00,11.00,7.00,1.00,0.57,,,,,,
